puntos_historicos;fecha_afiliacion;uni;genero;nacimiento;hora_afiliacion;dia_afiliacion;puntos_gastados;shares_totales;categoria_dominante;recruitments;concursos_participados;premios_canjeados;tickets_canjeados;difference_last_and_first_share;difference_last_raffle_first_share;edad;shares_frequency;quality;quality_id;sistema_registro;densidad_videos;calidad_videos;densidad_concursos;densidad_videos_semanas_registro
0;2014-06-04;NA;M;NA;12;Miercoles;0;0;NA;0;0;0;0;-1;-1;22;0;Not interested/Didn't get it;0;Through video display;Somewhat High;Somewhat Low;Somewhat Low;Regular
0;2014-06-04;NA;M;NA;16;Miercoles;0;0;NA;0;0;0;0;-1;-1;22;0;Not interested/Didn't get it;0;Normal sign in;High;Regular;Somewhat Low;High
120;2014-06-05;NA;M;NA;0;Jueves;0;3;VIDEOJUEGOS;0;0;0;0;0;-1;23;0;Not captured;1;Physical campaign: flyers;Somewhat Low;Somewhat Low;Low;Somewhat Low
0;2014-06-08;NA;M;NA;1;Domingo;0;0;NA;0;0;0;0;-1;-1;25;0;Not interested/Didn't get it;0;Through video display;Low;Somewhat High;Low;Low
1008;2014-06-09;NA;NA;NA;23;Domingo;500;7;MISC;0;1;0;2;1;0;21;0.142857142857143;Lost;2;Recruited;Low;Low;Somewhat Low;High
0;2014-06-09;NA;M;NA;0;Lunes;0;0;NA;0;0;0;0;-1;-1;22;0;Not interested/Didn't get it;0;Normal sign in;High;Somewhat High;Regular;High
0;2014-06-10;NA;F;NA;16;Martes;0;0;NA;0;0;0;0;-1;-1;22;0;Not interested/Didn't get it;0;Through video display;Low;Low;Low;Somewhat High
0;2014-06-11;NA;M;NA;16;Miercoles;0;0;NA;0;0;0;0;-1;-1;22;0;Not interested/Didn't get it;0;Normal sign in;Regular;Low;High;Somewhat High
0;2014-06-11;NA;NA;NA;16;Miercoles;0;1;DEPORTES;0;0;0;0;0;-1;23;0;Not captured;1;Through video display;Low;Somewhat Low;Low;Somewhat Low
0;2014-06-11;NA;NA;NA;16;Miercoles;0;1;DEPORTES;0;0;0;0;0;-1;20;0;Not captured;1;Facebook campaign;Somewhat Low;Somewhat Low;Low;Somewhat High
0;2014-06-11;NA;NA;NA;16;Miercoles;0;0;NA;0;0;0;0;-1;-1;24;0;Not interested/Didn't get it;0;Through video display;High;Regular;Somewhat High;High
0;2014-06-12;NA;F;NA;16;Jueves;0;2;DEPORTES;0;0;0;0;0;-1;22;0;Not captured;1;Through video display;Low;Regular;Low;High
0;2014-06-13;NA;M;NA;14;Viernes;0;1;DEPORTES;0;0;0;0;0;-1;36;0;Not captured;1;Recruited;Low;Regular;Low;High
72;2014-06-13;NA;M;NA;14;Viernes;0;2;DEPORTES;0;0;0;0;0;-1;43;0;Not captured;1;Normal sign in;Low;Regular;Low;Low
0;2014-06-13;NA;M;NA;15;Viernes;0;0;NA;0;0;0;0;-1;-1;24;0;Not interested/Didn't get it;0;Through video display;Low;Regular;Somewhat High;Somewhat High
